ra,dec,rMeanPSFMag
150.17176691,44.49348384,-999.000
150.18002291,44.49176469,15.318
150.18182788,44.49194255,-999.000
150.18456393,44.49583342,-999.000
150.19630315,44.49907606,-999.000
150.20638605,44.49363602,-999.000
150.21433195,44.49912532,-999.000
150.21533901,44.49907310,14.977
150.22313623,44.49312880,-999.000
149.97572394,44.68104835,-999.000
149.97622495,44.67773801,-999.000
149.97707807,44.67472626,-999.000
149.98137625,44.68137738,-999.000
149.99192992,44.68228981,-999.000
149.99253373,44.67739783,-999.000
149.99744377,44.68268653,-999.000
150.00521645,44.68202606,-999.000
150.00705770,44.68022234,-999.000
150.00779774,44.68126446,-999.000
149.52470718,44.84039668,-999.000
149.55048024,44.83954592,-999.000
149.56866387,44.83977307,-999.000
149.57193228,44.83967109,-999.000
149.30376581,44.97113103,-999.000
149.32370484,44.96719492,-999.000
149.32366371,44.96703849,-999.000
149.34375941,44.97283731,-999.000
150.02807105,45.11427633,-999.000
150.03396129,45.11207529,-999.000
150.04234430,45.11325275,-999.000
150.04689470,45.11009771,-999.000
150.04891978,45.11356276,-999.000
150.05226108,45.11475018,13.791
150.05780066,45.11374161,-999.000
150.06674234,45.11578681,-999.000
150.06832117,45.10855742,-999.000
150.07244931,45.11562577,-999.000
149.60679863,45.26292319,-999.000
149.61065628,45.26174985,-999.000
149.61361244,45.25914140,-999.000
149.61506887,45.25981506,-999.000
149.61480677,45.25862909,-999.000
149.61528524,45.25872008,-999.000
149.62544723,45.25895282,-999.000
149.63275188,45.26559128,-999.000
149.57197199,45.42332226,-999.000
149.57220043,45.41835100,-999.000
149.58543277,45.42194728,-999.000
149.59349084,45.42171494,-999.000
149.60473946,45.42270577,-999.000
149.60534903,45.41866235,-999.000
149.60532815,45.41698069,-999.000
149.60734453,45.42012328,-999.000
149.60968744,45.42028809,-999.000
149.60960447,45.41941383,-999.000
149.91358380,44.53345732,-999.000
149.92896114,44.53324018,-999.000
149.93012155,44.53994623,-999.000
